Rule,Support,Confidence,Lift
chicken -> light cream,0.004532728969470737,0.29059829059829057,4.84395061728395
mushroom cream sauce -> escalope,0.005732568990801226,0.3006993006993007,3.790832696715049
pasta -> escalope,0.005865884548726837,0.3728813559322034,4.700811850163794
herb & pepper -> ground beef,0.015997866951073192,0.3234501347708895,3.2919938411349285
tomato sauce -> ground beef,0.005332622317024397,0.3773584905660377,3.840659481324083
whole wheat pasta -> olive oil,0.007998933475536596,0.2714932126696833,4.122410097642296
shrimp -> pasta,0.005065991201173177,0.3220338983050847,4.506672147735896
chicken -> nan,0.004532728969470737,0.29059829059829057,4.84395061728395
shrimp -> frozen vegetables,0.005332622317024397,0.23255813953488375,3.2545123221103784
cooking oil -> ground beef,0.004799360085321957,0.5714285714285714,3.2819951870487856
nan -> mushroom cream sauce,0.005732568990801226,0.3006993006993007,3.790832696715049
pasta -> nan,0.005865884548726837,0.3728813559322034,4.700811850163794
spaghetti -> ground beef,0.008665511265164644,0.31100478468899523,3.165328208890303
olive oil -> frozen vegetables,0.004799360085321957,0.20338983050847456,3.088314005352364
mineral water -> frozen vegetables,0.007199040127982935,0.30508474576271183,3.200616332819722
spaghetti -> frozen vegetables,0.005732568990801226,0.20574162679425836,3.1240241752707125
spaghetti -> shrimp,0.005999200106652446,0.21531100478468898,3.0131489680782684
spaghetti -> frozen vegetables,0.006665777896280496,0.23923444976076558,3.4980460188216425
spaghetti -> grated cheese,0.005332622317024397,0.3225806451612903,3.283144395325426
herb & pepper -> ground beef,0.006665777896280496,0.39062500000000006,3.975682666214383
herb & pepper -> ground beef,0.015997866951073192,0.3234501347708895,3.2919938411349285
spaghetti -> herb & pepper,0.006399146780429276,0.3934426229508197,4.004359721511667
ground beef -> olive oil,0.004932675643247567,0.22424242424242427,3.40494417862839
tomato sauce -> ground beef,0.005332622317024397,0.3773584905660377,3.840659481324083
spaghetti -> shrimp,0.005999200106652446,0.5232558139534884,3.005315360233627
spaghetti -> olive oil,0.007199040127982935,0.20300751879699247,3.0825089038385434
soup -> mineral water,0.005199306759098787,0.22543352601156072,3.4230301186492245
whole wheat pasta -> nan,0.007998933475536596,0.2714932126696833,4.13077198425009
shrimp -> pasta,0.005065991201173177,0.3220338983050847,4.515095833993347
spaghetti -> pancakes,0.005065991201173177,0.20105820105820105,3.0529100529100526
shrimp -> nan,0.005332622317024397,0.23255813953488375,3.260595522712454
cooking oil -> spaghetti,0.004799360085321957,0.5714285714285714,3.2819951870487856
spaghetti -> ground beef,0.008665511265164644,0.31100478468899523,3.165328208890303
spaghetti -> mineral water,0.004532728969470737,0.28813559322033894,3.0228043143297376
olive oil -> frozen vegetables,0.004799360085321957,0.20338983050847456,3.094578333963626
mineral water -> frozen vegetables,0.007199040127982935,0.30508474576271183,3.200616332819722
spaghetti -> frozen vegetables,0.005732568990801226,0.20574162679425836,3.1303609383037156
spaghetti -> shrimp,0.005999200106652446,0.21531100478468898,3.0187810222242093
spaghetti -> frozen vegetables,0.006665777896280496,0.23923444976076558,3.4980460188216425
spaghetti -> grated cheese,0.005332622317024397,0.3225806451612903,3.283144395325426
herb & pepper -> nan,0.006665777896280496,0.39062500000000006,3.975682666214383
spaghetti -> herb & pepper,0.006399146780429276,0.3934426229508197,4.004359721511667
ground beef -> olive oil,0.004932675643247567,0.22424242424242427,3.4118507591124225
spaghetti -> shrimp,0.005999200106652446,0.5232558139534884,3.005315360233627
spaghetti -> olive oil,0.007199040127982935,0.20300751879699247,3.088761457396025
soup -> mineral water,0.005199306759098787,0.22543352601156072,3.429973384609973
spaghetti -> pancakes,0.005065991201173177,0.20105820105820105,3.0591025682303568
spaghetti -> mineral water,0.004532728969470737,0.28813559322033894,3.0228043143297376
